,Sample Name,ID,Exterior,Interior,Color,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g),
516,80741,B5367,Orange,Orange,Orange,6.861338636,18.25502434,4.610738373,NA,0,0,HPLC Wrong
300,80395,PI 357978,Orange,Yellow,Orange,0,10.50518662,36.37871001,NA,0,0,Color and HPLC Wrong
305,80402,PI 357985,Orange,Yellow,Orange,0,0,3.689448008,NA,0,0,Color and HPLC Wrong
311,80410,PI 369349,White,White,White,8.351718591,21.08713614,55.15245258,NA,0,0,Color and HPLC Wrong
315,80415,PI 379325,Orange,Yellow,Orange,0,0,2.82178225,NA,0,0,Color and HPLC Wrong
322,80428,PI 419110,Orange,Yellow,Orange,0,0,20.27745135,NA,0,0,Color and HPLC Wrong
325,80433,PI 430527,Orange,Yellow,Orange,0,0,9.9248048,0,0,0,Color and HPLC Wrong
350,80462,PI 458857,Orange,Yellow,Orange,0,0,10.44044623,NA,0,0,Color and HPLC Wrong
354,80466,PI 478370,Orange,White,Orange,NA,0,11.83356444,NA,0,0,Color and HPLC Wrong
360,80474,PI 502347,Orange,Yellow,Orange,0,0,2.451596578,NA,0,0,Color and HPLC Wrong
406,80573,PI 643119,Orange,Yellow,Orange,0,10.06425305,7.624670236,NA,0,0,Color and HPLC Wrong
413,80587,PI 652130,Orange,Yellow,Orange,8.099701712,20.92779997,10.13809624,NA,0,0,Color and HPLC Wrong
461,80652,PI 652210,Yellow,Yellow,Yellow,11.05979061,17.99041818,56.27664073,0,0,0,Color and HPLC Wrong
51,80067,PI 164942,Orange,Yellow,Orange,NA,6.504445181,14.42630717,NA,0,0,Color Wrong
66,80087,PI 171642,Orange,Yellow,Orange,0,5.198762681,21.20549717,NA,0,0,Color Wrong
74,80098,PI 172894,Orange,Yellow,Orange,7.586886176,11.04257739,21.35120266,NA,0,0,Color Wrong
87,80117,PI 176561,NA,Yellow,NA,0,11.61719641,54.23311027,NA,0,0,Color Wrong
95,80130,PI 178900,Orange,Yellow,Orange,0,11.6287243,24.88077769,NA,0,0,Color Wrong
101,80136,PI 179690,NA,Yellow,NA,0,19.61473977,30.18119706,NA,0,0,Color Wrong
108,80145,PI 182204,Orange,Yellow,Orange,0,9.232884888,52.66013323,NA,0,0,Color Wrong
120,80160,PI 204704,Orange,Yellow,Orange,0,9.188304976,43.0086886,NA,0,0,Color Wrong
124,80165,PI 206960,NA,Yellow,NA,0,7.953118137,37.04311487,NA,0,0,Color Wrong
154,80205,PI 227014,Orange,Yellow,Orange,0,19.68249385,88.67106176,NA,0,0,Color Wrong
263,80350,PI 325993,Orange,Yellow,Orange,10.1830165,18.10895512,6.901724121,NA,0,0,Color Wrong
292,80386,PI 344361,Orange,Yellow,Orange,0,11.37384541,64.74908008,NA,0,0,Color Wrong
314,80414,PI 378883,Orange,Yellow,Orange,11.26982944,16.77008897,11.94678445,NA,0,0,Color Wrong
342,80454,PI 451754,Orange,Yellow,Orange,0,13.78869405,65.72805444,NA,0,0,Color Wrong
374,80492,PI 506444,Orange,Yellow,Orange,6.631116122,23.33904057,5.322347275,NA,0,0,Color Wrong
459,80650,PI 652208,Orange,Yellow,Orange,0,20.64672116,171.0092454,0,0,0,Color Wrong
473,80672,PI 652256,Orange,Yellow,Orange,0,13.18053973,26.31530455,NA,0,0,Color Wrong
490,80700,PI 652334,NA,Yellow,NA,0,18.83495736,102.1675031,NA,0,0,Color Wrong
162,80215,PI 234623,Orange,Yellow,Orange,0,0,12.70082879,NA,0,0,HPLC & Color Wrong
1,80001,Vilmorin I04428,Orange,Orange,Orange,4.345264218,7.444532914,1.644238236,NA,0,0,HPLC Wrong
23,80034,NSL 6193,Orange,Orange,Orange,2.7556923,4.368065454,NA,NA,0,0,HPLC Wrong
163,80217,PI 249535,Orange,Orange,Orange,0,0,3.638832494,NA,0,0,HPLC Wrong
168,80223,PI 261613,Orange,Orange,Orange,0,0,2.542764525,0,0,0,HPLC Wrong
170,80226,PI 261646,Orange,Orange,Orange,0,0,NA,NA,0,0,HPLC Wrong
171,80227,PI 261647,Orange,Orange,Orange,13.32820641,15.05394415,3.162846839,NA,0,0,HPLC Wrong
172,80228,PI 261648,Orange,Orange,Orange,0,0,2.782319103,NA,0,0,HPLC Wrong
183,80240,PI 264232,Orange,Orange,Orange,6.797532598,9.037065614,3.717472885,NA,0,0,HPLC Wrong
184,80241,PI 264233,Orange,Orange,Orange,0,0,2.532005603,0,0,0,HPLC Wrong
186,80243,PI 264235,Orange,Orange,Orange,0,0,6.05800418,NA,0,0,HPLC Wrong
187,80244,PI 264236,Orange,Orange,Orange,8.135379809,19.14542894,55.96154207,NA,0,0,HPLC Wrong
188,80245,PI 264237,Orange,Orange,Orange,0,0,2.913956807,0,0,0,HPLC Wrong
190,80247,PI 264543,Orange,Orange,Orange,0,0,2.363167212,NA,0,0,HPLC Wrong
195,80253,PI 269316,Orange,Orange,Orange,0,0,2.535067654,NA,0,0,HPLC Wrong
197,80255,PI 269318,Orange,Orange,Orange,0,0,2.485334913,NA,0,0,HPLC Wrong
198,80256,PI 269319,Orange,Orange,Orange,0,5.745825917,3.068566293,NA,0,0,HPLC Wrong
199,80258,PI 269320,Orange,Orange,Orange,0,0,5.250832975,NA,0,0,HPLC Wrong
210,80273,PI 277668,Orange,Orange,Orange,10.52881021,9.208268163,4.65484241,NA,0,0,HPLC Wrong
211,80274,PI 277669,Orange,Orange,Orange,0,0,2.367151134,NA,0,0,HPLC Wrong
215,80286,PI 282480,Orange,Orange,Orange,0,0,6.025320131,NA,0,0,HPLC Wrong
224,80296,PI 285617,Orange,Orange,Orange,0,0,2.22401122,NA,0,0,HPLC Wrong
225,80297,PI 285618,Orange,Orange,Orange,0,0,2.667098449,NA,0,0,HPLC Wrong
253,80339,PI 324240,Orange,Orange,Orange,0,0,3.577724109,NA,0,0,HPLC Wrong
262,80349,PI 325992,Orange,Orange,Orange,9.817350017,24.68273164,6.661313064,NA,0,0,HPLC Wrong
274,80362,PI 326004,Orange,Orange,Orange,0,0,2.806209656,NA,0,0,HPLC Wrong
279,80368,PI 326011,Orange,Orange,Orange,0,0,5.44254707,NA,0,0,HPLC Wrong
286,80377,PI 341205,Orange,Orange,Orange,0,0,3.299177609,NA,0,0,HPLC Wrong
288,80381,PI 341209,Orange,Orange,Orange,0,0,3.309416353,NA,0,0,HPLC Wrong
298,80392,PI 357975,Orange,Yellow,Orange,0,6.837847932,3.93299357,NA,0,0,HPLC Wrong
319,80425,PI 419042,Orange,Orange,Orange,9.023684516,0,2.964879331,NA,0,0,HPLC Wrong
329,80439,PI 430533,Orange,Orange,Orange,0,7.710910454,4.845061812,NA,0,0,HPLC Wrong
332,80443,PI 432900,Orange,Orange,Orange,0,0,3.102994978,NA,0,0,HPLC Wrong
333,80444,PI 432901,Orange,Orange,Orange,0,0,2.577919597,NA,0,0,HPLC Wrong
352,80464,PI 458859,Orange,Orange,Orange,0,0,NA,NA,0,0,HPLC Wrong
353,80465,PI 458860,Orange,Orange,Orange,16.8657562,22.71312083,9.095745038,NA,0,0,HPLC Wrong
356,80469,PI 483349,Orange,Orange,Orange,0,0,2.419775465,NA,0,0,HPLC Wrong
370,80488,PI 503342,Orange,Orange,Orange,0,0,2.451230666,NA,0,0,HPLC Wrong
371,80489,PI 503343,Orange,Orange,Orange,0,0,2.398178604,0,0,0,HPLC Wrong
376,80494,PI 508470,Orange,Orange,Orange,17.99880042,12.78983686,4.078305557,NA,0,0,HPLC Wrong
377,80498,PI 508474,Orange,Orange,Orange,0,0,4.638271255,0,0,0,HPLC Wrong
380,80530,PI 535887,Orange,Orange,Orange,0,0,4.681101535,0,0,0,HPLC Wrong
391,80558,PI 634656,Orange,Orange,Orange,0,0,3.453423938,0,0,0,HPLC Wrong
411,80582,PI 652125,Orange,Orange,Orange,8.550507192,11.921736,3.847665876,NA,0,0,HPLC Wrong
436,80621,PI 652166,Orange,Orange,Orange,0,0,NA,NA,0,0,HPLC Wrong
451,80636,PI 652181,Orange,Orange,Orange,12.00527582,17.38179891,4.126388092,NA,0,0,HPLC Wrong
466,80658,PI 652231,Orange,Orange,Orange,0,11.26828601,4.01743205,NA,0,0,HPLC Wrong
469,80666,PI 652248,Orange,Orange,Orange,18.21288925,16.51546758,6.027772965,NA,0,0,HPLC Wrong
474,80674,PI 652257,Orange,Orange,Orange,0,16.21858877,28.82433232,12.17998395,0,0,HPLC Wrong
482,80688,PI 652279,Orange,Orange,Orange,0,0,5.159196996,NA,0,0,HPLC Wrong
498,80715,PI 652404,Orange,Orange,Orange,0,0,NA,NA,0,0,HPLC Wrong
502,80722,FN2-9,Orange,Orange,Orange,0,0,NA,NA,0,0,HPLC Wrong
507,80729,B5280,Orange,Orange,Orange,0,0,NA,NA,0,0,HPLC Wrong
512,80734,B7262,Orange,Orange,Orange,7.760786432,10.45921984,8.093967492,NA,0,0,HPLC Wrong
515,80739,B1111B,Orange,Orange,Orange,0,9.06395825,3.230011773,NA,0,0,HPLC Wrong
526,80751,P6245,Orange,Orange,Orange,17.44599864,24.04912581,4.442109555,NA,0,0,HPLC Wrong
546,80774,W259B,Orange,Orange,Orange,14.42112027,13.99091916,4.298116306,NA,0,0,HPLC Wrong
547,80776,WAY268C,Orange,Orange,Orange,0,0,3.270944204,0,0,0,HPLC Wrong
548,80777,WAY271B,Orange,Orange,Orange,0,0,3.310335567,NA,0,0,HPLC Wrong
549,80779,WAY273C,Orange,Orange,Orange,0,0,3.115394235,NA,0,0,HPLC Wrong
555,81581,W289B,Orange,Orange,Orange,15.2517795,20.67009863,NA,NA,0,0,HPLC Wrong
54,80070,PI 165484,Orange,Yellow,Orange,0,0,6.76932781,NA,0,0,HPLC Wrong & Color Wrong
50,80066,PI 164798,Orange,Orange,Orange,0,6.928511213,8.592232537,NA,0,0,Inconclusive Remove
59,80079,PI 169484,Orange,Orange,Orange,0,9.398562085,14.64918173,NA,0,0,Remove Phenotype
73,80097,Seminis 397694,NA,NA,NA,3.180917387,0,1.603609018,0,0,0,Remove Phenotype
